gameId,name,value
84,Main + Sides,0:0:0
84,Completionist,3:0:0
84,All Styles,3:0:0
83,Main Story,7:0:0
83,Main + Sides,0:0:0
83,Completionist,0:0:0
83,All Styles,7:0:0
86,Main Story,6:30:0
86,Main + Sides,6:30:0
86,Completionist,25:0:0
86,All Styles,7:0:0
85,Main Story,5:0:0
85,Main + Sides,7:0:0
85,Completionist,9:30:0
85,All Styles,6:0:0
87,Main Story,0:15:0
87,Main + Sides,0:0:0
87,Completionist,0:0:0
87,All Styles,0:15:0
88,Main Story,2:30:0
88,Main + Sides,0:0:0
88,Completionist,3:0:0
88,All Styles,3:0:0
89,Main Story,0:15:0
89,Main + Sides,0:0:0
89,Completionist,0:17:0
89,All Styles,0:15:0
90,Main Story,0:5:0
90,Main + Sides,0:5:0
90,Completionist,0:38:0
90,All Styles,0:15:0
91,Main Story,0:15:0
91,Main + Sides,0:0:0
91,Completionist,0:0:0
91,All Styles,0:15:0
93,Main Story,3:0:0
93,Main + Sides,0:0:0
93,Completionist,3:0:0
93,All Styles,3:0:0
94,Main Story,4:30:0
94,Main + Sides,5:0:0
94,Completionist,7:0:0
94,All Styles,6:0:0
95,Main Story,5:30:0
95,Main + Sides,5:0:0
95,Completionist,6:0:0
95,All Styles,5:30:0
96,Main Story,4:0:0
96,Main + Sides,4:0:0
96,Completionist,7:30:0
96,All Styles,5:0:0
97,Main Story,6:0:0
97,Main + Sides,9:0:0
97,Completionist,12:0:0
97,All Styles,9:30:0
99,Main Story,0:0:0
99,Main + Sides,0:0:0
99,Completionist,0:0:0
99,All Styles,0:0:0
98,Main Story,7:0:0
98,Main + Sides,7:30:0
98,Completionist,9:0:0
98,All Styles,7:0:0
100,Main Story,3:0:0
100,Main + Sides,0:0:0
100,Completionist,3:0:0
100,All Styles,3:0:0
101,Main Story,34:30:0
101,Main + Sides,50:30:0
101,Completionist,83:30:0
101,All Styles,51:0:0
102,Main Story,32:0:0
102,Main + Sides,34:0:0
102,Completionist,38:0:0
102,All Styles,34:30:0
103,Main Story,30:0:0
103,Main + Sides,37:0:0
103,Completionist,37:30:0
103,All Styles,36:30:0
105,Main Story,1:0:0
105,Main + Sides,2:30:0
105,Completionist,5:0:0
105,All Styles,1:30:0
104,Main Story,2:30:0
104,Main + Sides,2:30:0
104,Completionist,8:0:0
104,All Styles,3:0:0
106,Main Story,0:0:0
106,Main + Sides,0:0:0
106,Completionist,0:0:0
106,All Styles,0:0:0
107,Main Story,8:0:0
107,Main + Sides,11:0:0
107,Completionist,12:30:0
107,All Styles,11:0:0
108,Main Story,0:0:0
108,Main + Sides,0:0:0
108,Completionist,8:0:0
108,All Styles,8:0:0
109,Single-Player,0:0:0
109,Co-Op,0:0:0
109,Vs.,0:0:0
110,Main Story,8:0:0
110,Main + Sides,11:0:0
110,Completionist,22:0:0
110,All Styles,15:30:0
111,Main Story,10:0:0
111,Main + Sides,17:0:0
111,Completionist,20:30:0
111,All Styles,17:30:0
112,Main Story,0:0:0
112,Main + Sides,0:0:0
112,Completionist,0:0:0
112,All Styles,0:0:0
114,Main Story,0:15:0
114,Main + Sides,0:17:0
114,Completionist,0:0:0
114,All Styles,0:15:0
115,Main Story,4:0:0
115,Main + Sides,0:0:0
115,Completionist,0:0:0
115,All Styles,4:0:0
116,Main Story,0:0:0
116,Main + Sides,16:0:0
116,Completionist,0:0:0
116,All Styles,16:0:0
117,Main Story,0:27:0
117,Main + Sides,0:0:0
117,Completionist,0:27:0
117,All Styles,0:27:0
119,Main Story,9:30:0
119,Main + Sides,11:0:0
119,Completionist,18:0:0
119,All Styles,13:30:0
120,Main Story,0:51:0
120,Main + Sides,2:0:0
120,Completionist,2:30:0
120,All Styles,2:0:0
121,Main Story,5:30:0
121,Main + Sides,11:0:0
121,Completionist,12:0:0
121,All Styles,8:0:0
122,Single-Player,3:0:0
122,Co-Op,0:0:0
122,Vs.,0:0:0
124,Main Story,0:5:0
124,Main + Sides,0:0:0
124,Completionist,0:15:0
124,All Styles,0:15:0
125,Main Story,0:0:0
125,Main + Sides,0:0:0
125,Completionist,0:0:0
125,All Styles,0:0:0
126,Main Story,0:0:0
126,Main + Sides,0:0:0
126,Completionist,3:30:0
126,All Styles,3:30:0
127,Main Story,35:0:0
127,Main + Sides,35:30:0
127,Completionist,68:30:0
127,All Styles,45:0:0
128,Main Story,10:0:0
128,Main + Sides,19:30:0
128,Completionist,63:0:0
128,All Styles,15:30:0
129,Main Story,0:0:0
129,Main + Sides,0:0:0
129,Completionist,0:0:0
129,All Styles,0:0:0
130,Main Story,9:30:0
130,Main + Sides,15:0:0
130,Completionist,18:30:0
130,All Styles,14:0:0
131,Main Story,6:0:0
131,Main + Sides,13:30:0
131,Completionist,26:0:0
131,All Styles,11:30:0
132,Main Story,5:30:0
132,Main + Sides,0:0:0
132,Completionist,0:0:0
132,All Styles,5:30:0
133,Main Story,0:0:0
133,Main + Sides,0:0:0
133,Completionist,0:0:0
133,All Styles,0:0:0
134,Main Story,9:30:0
134,Main + Sides,10:0:0
134,Completionist,10:30:0
134,All Styles,10:0:0
136,Main Story,1:30:0
136,Main + Sides,2:30:0
136,Completionist,4:0:0
136,All Styles,2:30:0
137,Main Story,5:30:0
137,Main + Sides,9:30:0
137,Completionist,20:0:0
137,All Styles,9:0:0
138,Main Story,7:0:0
138,Main + Sides,8:0:0
138,Completionist,9:0:0
138,All Styles,8:30:0
139,Main Story,0:0:0
139,Main + Sides,0:0:0
139,Completionist,8:30:0
139,All Styles,8:30:0
140,Main Story,13:0:0
140,Main + Sides,16:0:0
140,Completionist,58:30:0
140,All Styles,19:0:0
141,Main Story,10:0:0
141,Main + Sides,11:0:0
141,Completionist,24:0:0
141,All Styles,11:30:0
142,Main Story,7:30:0
142,Main + Sides,8:30:0
142,Completionist,8:30:0
142,All Styles,8:0:0
143,Main Story,4:0:0
143,Main + Sides,11:0:0
143,Completionist,26:30:0
143,All Styles,6:0:0
144,Main Story,4:0:0
144,Main + Sides,6:0:0
144,Completionist,10:0:0
144,All Styles,5:30:0
145,Main Story,16:0:0
145,Main + Sides,16:30:0
145,Completionist,38:0:0
145,All Styles,20:0:0
146,Main Story,7:30:0
146,Main + Sides,11:0:0
146,Completionist,14:0:0
146,All Styles,10:0:0
148,Main Story,0:0:0
148,Main + Sides,0:0:0
148,Completionist,0:0:0
148,All Styles,0:0:0
149,Main Story,9:0:0
149,Main + Sides,0:0:0
149,Completionist,0:0:0
149,All Styles,9:0:0
150,Main Story,3:0:0
150,Main + Sides,0:0:0
150,Completionist,0:0:0
150,All Styles,3:0:0
152,Main Story,2:30:0
152,Main + Sides,3:30:0
152,Completionist,10:30:0
152,All Styles,3:0:0
153,Main Story,4:30:0
153,Main + Sides,5:30:0
153,Completionist,12:30:0
153,All Styles,6:30:0
154,Main Story,3:0:0
154,Main + Sides,5:30:0
154,Completionist,10:0:0
154,All Styles,5:30:0
156,Main Story,0:54:0
156,Main + Sides,0:59:0
156,Completionist,1:0:0
156,All Styles,0:57:0
157,Main Story,0:0:0
157,Main + Sides,0:0:0
157,Completionist,0:0:0
157,All Styles,0:0:0
159,Main Story,1:30:0
159,Main + Sides,2:30:0
159,Completionist,3:0:0
159,All Styles,2:0:0
158,Main Story,0:0:0
158,Main + Sides,0:0:0
158,Completionist,0:0:0
158,All Styles,0:0:0
161,Main Story,5:30:0
161,Main + Sides,0:0:0
161,Completionist,0:0:0
161,All Styles,5:30:0
162,Main Story,5:0:0
162,Main + Sides,0:0:0
162,Completionist,7:0:0
162,All Styles,6:30:0
163,Main Story,4:0:0
163,Main + Sides,0:0:0
163,Completionist,4:0:0
163,All Styles,4:0:0
164,Main Story,0:0:0
164,Main + Sides,0:0:0
164,Completionist,0:0:0
164,All Styles,0:0:0
165,Main Story,23:0:0
165,Main + Sides,24:0:0
165,Completionist,25:0:0
165,All Styles,23:30:0
166,Main Story,4:0:0
166,Main + Sides,7:0:0
166,Completionist,26:0:0
166,All Styles,5:0:0
167,Main Story,2:30:0
167,Main + Sides,5:0:0
167,Completionist,10:30:0
167,All Styles,3:0:0
168,Main Story,4:0:0
168,Main + Sides,12:0:0
168,Completionist,13:0:0
168,All Styles,6:0:0
169,Main Story,7:0:0
169,Main + Sides,12:30:0
169,Completionist,31:30:0
169,All Styles,8:30:0
170,Main Story,8:30:0
170,Main + Sides,14:30:0
170,Completionist,30:0:0
170,All Styles,9:30:0
171,Main Story,4:0:0
171,Main + Sides,6:30:0
171,Completionist,18:30:0
171,All Styles,5:30:0
172,Main Story,4:30:0
172,Main + Sides,8:30:0
172,Completionist,21:0:0
172,All Styles,5:30:0
173,Main Story,8:30:0
173,Main + Sides,13:0:0
173,Completionist,82:0:0
173,All Styles,11:0:0
175,Main Story,4:0:0
175,Main + Sides,8:0:0
175,Completionist,15:0:0
175,All Styles,5:0:0
176,Main Story,6:30:0
176,Main + Sides,7:0:0
176,Completionist,66:30:0
176,All Styles,8:0:0
177,Main Story,0:0:0
177,Main + Sides,0:0:0
177,Completionist,0:0:0
177,All Styles,0:0:0
178,Co-Op,0:0:0
178,Vs.,18:30:0
179,Main Story,0:0:0
179,Main + Sides,28:0:0
179,Completionist,0:0:0
179,All Styles,28:0:0
180,Main Story,0:15:0
180,Main + Sides,0:23:0
180,Completionist,0:20:0
180,All Styles,0:20:0
181,Main Story,70:0:0
181,Main + Sides,0:0:0
181,Completionist,0:0:0
181,All Styles,70:0:0
182,Main Story,0:0:0
182,Main + Sides,0:0:0
182,Completionist,0:0:0
182,All Styles,0:0:0
183,Main Story,0:26:0
183,Main + Sides,0:52:0
183,Completionist,0:0:0
183,All Styles,0:35:0
184,Co-Op,0:0:0
184,Vs.,0:0:0
185,Main Story,0:0:0
185,Main + Sides,14:0:0
185,Completionist,0:0:0
185,All Styles,14:0:0
186,Main Story,12:0:0
186,Main + Sides,12:30:0
186,Completionist,12:30:0
186,All Styles,12:0:0
187,Main Story,3:0:0
187,Main + Sides,0:0:0
187,Completionist,0:0:0
187,All Styles,3:0:0
188,Main Story,1:30:0
188,Main + Sides,0:0:0
188,Completionist,0:0:0
188,All Styles,1:30:0
189,Main Story,0:0:0
189,Main + Sides,0:0:0
189,Completionist,0:0:0
189,All Styles,0:0:0
190,Single-Player,0:0:0
190,Co-Op,0:0:0
190,Vs.,0:0:0
191,Main Story,5:0:0
191,Main + Sides,5:30:0
191,Completionist,6:0:0
191,All Styles,5:0:0
193,Single-Player,0:0:0
193,Co-Op,0:0:0
193,Vs.,0:0:0
192,Main Story,4:0:0
192,Main + Sides,0:0:0
192,Completionist,0:0:0
192,All Styles,4:0:0
194,Single-Player,6:0:0
194,Co-Op,0:0:0
194,Vs.,0:0:0
197,Main Story,0:0:0
197,Main + Sides,0:0:0
197,Completionist,0:5:0
197,All Styles,0:5:0
196,Main Story,1:0:0
196,Main + Sides,1:30:0
196,Completionist,1:30:0
196,All Styles,1:30:0
198,Main Story,1:30:0
198,Main + Sides,2:0:0
198,Completionist,2:30:0
198,All Styles,2:0:0
199,Main Story,2:0:0
199,Main + Sides,2:30:0
199,Completionist,3:0:0
199,All Styles,2:30:0
200,Main Story,2:0:0
200,Main + Sides,2:30:0
200,Completionist,2:30:0
200,All Styles,2:0:0
201,Main Story,11:0:0
201,Main + Sides,0:0:0
201,Completionist,0:0:0
201,All Styles,11:0:0
202,Main Story,0:0:0
202,Main + Sides,0:0:0
202,Completionist,0:0:0
202,All Styles,0:0:0
203,Main Story,3:0:0
203,Main + Sides,0:0:0
203,Completionist,0:0:0
203,All Styles,3:0:0
204,Main Story,15:30:0
204,Main + Sides,21:30:0
204,Completionist,32:30:0
204,All Styles,17:30:0
206,Main Story,20:30:0
206,Main + Sides,34:0:0
206,Completionist,67:30:0
206,All Styles,25:30:0
205,Main Story,27:0:0
205,Main + Sides,38:0:0
205,Completionist,104:0:0
205,All Styles,33:0:0
207,Main Story,24:0:0
207,Main + Sides,50:0:0
207,Completionist,178:0:0
207,All Styles,36:0:0
208,Main Story,2:0:0
208,Main + Sides,2:30:0
208,Completionist,3:30:0
208,All Styles,2:30:0
209,Main Story,0:0:0
209,Main + Sides,5:0:0
209,Completionist,0:0:0
209,All Styles,5:0:0
210,Main Story,8:0:0
210,Main + Sides,8:0:0
210,Completionist,8:30:0
210,All Styles,8:0:0
211,Main Story,0:15:0
211,Main + Sides,0:43:0
211,Completionist,1:0:0
211,All Styles,0:21:0
212,Main Story,0:0:0
212,Main + Sides,0:0:0
212,Completionist,0:0:0
212,All Styles,0:0:0
213,Main Story,22:30:0
213,Main + Sides,58:0:0
213,Completionist,70:0:0
213,All Styles,43:0:0
214,Main Story,2:30:0
214,Main + Sides,4:0:0
214,Completionist,3:0:0
214,All Styles,2:30:0
215,Main Story,2:30:0
215,Main + Sides,3:30:0
215,Completionist,5:0:0
215,All Styles,3:0:0
216,Main Story,1:30:0
216,Main + Sides,2:0:0
216,Completionist,3:30:0
216,All Styles,2:0:0
217,Main Story,2:0:0
217,Main + Sides,0:0:0
217,Completionist,0:0:0
217,All Styles,2:0:0
219,Main Story,5:0:0
219,Main + Sides,5:0:0
219,Completionist,6:30:0
219,All Styles,5:0:0
220,Main Story,0:53:0
220,Main + Sides,1:0:0
220,Completionist,1:30:0
220,All Styles,1:0:0
221,Main Story,0:0:0
221,Main + Sides,0:0:0
221,Completionist,0:0:0
221,All Styles,0:0:0
223,Main Story,3:30:0
223,Main + Sides,5:30:0
223,Completionist,6:0:0
223,All Styles,4:30:0
222,Main Story,0:58:0
222,Main + Sides,1:0:0
222,Completionist,1:30:0
222,All Styles,1:0:0
224,Main Story,5:0:0
224,Main + Sides,6:30:0
224,Completionist,9:0:0
224,All Styles,8:0:0
225,Main Story,9:0:0
225,Main + Sides,0:0:0
225,Completionist,18:0:0
225,All Styles,15:0:0
228,Main Story,0:0:0
228,Main + Sides,0:0:0
228,Completionist,0:0:0
228,All Styles,0:0:0
229,Main Story,0:0:0
229,Main + Sides,0:0:0
229,Completionist,0:0:0
229,All Styles,0:0:0
230,Main Story,0:0:0
230,Main + Sides,0:0:0
230,Completionist,0:0:0
230,All Styles,0:0:0
231,Main Story,0:0:0
231,Main + Sides,25:0:0
231,Completionist,0:0:0
231,All Styles,25:0:0
232,Main Story,2:30:0
232,Main + Sides,5:0:0
232,Completionist,8:30:0
232,All Styles,4:0:0
233,Main Story,0:0:0
233,Main + Sides,9:30:0
233,Completionist,0:0:0
233,All Styles,9:30:0
234,Main Story,2:30:0
234,Main + Sides,5:30:0
234,Completionist,11:0:0
234,All Styles,7:0:0
235,Main Story,9:0:0
235,Main + Sides,15:30:0
235,Completionist,0:0:0
235,All Styles,10:30:0
236,Main Story,0:49:0
236,Main + Sides,1:0:0
236,Completionist,1:0:0
236,All Styles,0:59:0
237,Main Story,0:48:0
237,Main + Sides,1:0:0
237,Completionist,1:0:0
237,All Styles,0:52:0
238,Main Story,0:40:0
238,Main + Sides,0:49:0
238,Completionist,0:56:0
238,All Styles,0:44:0
239,Main Story,4:0:0
239,Main + Sides,0:0:0
239,Completionist,22:0:0
239,All Styles,13:0:0
240,Main Story,0:0:0
240,Main + Sides,0:0:0
240,Completionist,0:0:0
240,All Styles,0:0:0
241,Main Story,3:0:0
241,Main + Sides,0:0:0
241,Completionist,0:0:0
241,All Styles,3:0:0
242,Main Story,3:30:0
242,Main + Sides,4:0:0
242,Completionist,4:0:0
242,All Styles,3:30:0
243,Main Story,4:0:0
243,Main + Sides,4:30:0
243,Completionist,7:0:0
243,All Styles,5:0:0
244,Main Story,0:0:0
244,Main + Sides,0:0:0
244,Completionist,0:0:0
244,All Styles,0:0:0
245,Main Story,5:0:0
245,Main + Sides,21:30:0
245,Completionist,157:0:0
245,All Styles,25:0:0
247,Main Story,0:37:0
247,Main + Sides,0:50:0
247,Completionist,1:0:0
247,All Styles,0:52:0
248,Main Story,2:30:0
248,Main + Sides,3:0:0
248,Completionist,3:30:0
248,All Styles,2:30:0
249,Main Story,19:0:0
249,Main + Sides,23:30:0
249,Completionist,29:0:0
249,All Styles,24:30:0
250,Main Story,7:0:0
250,Main + Sides,8:0:0
250,Completionist,11:30:0
250,All Styles,7:30:0
251,Main Story,0:0:0
251,Main + Sides,0:0:0
251,Completionist,0:0:0
251,All Styles,0:0:0
252,Main Story,0:41:0
252,Main + Sides,1:30:0
252,Completionist,2:0:0
252,All Styles,1:0:0
253,Main Story,0:15:0
253,Main + Sides,2:0:0
253,Completionist,6:0:0
253,All Styles,3:0:0
254,Main Story,0:35:0
254,Main + Sides,2:0:0
254,Completionist,2:30:0
254,All Styles,0:56:0
255,Main Story,0:16:0
255,Main + Sides,0:22:0
255,Completionist,2:30:0
255,All Styles,0:37:0
256,Main Story,6:30:0
256,Main + Sides,8:30:0
256,Completionist,17:0:0
256,All Styles,8:0:0
257,Main Story,10:30:0
257,Main + Sides,11:0:0
257,Completionist,11:0:0
257,All Styles,11:0:0
258,Main Story,0:0:0
258,Main + Sides,0:0:0
258,Completionist,0:0:0
258,All Styles,0:0:0
260,Main Story,7:0:0
260,Main + Sides,9:0:0
260,Completionist,9:30:0
260,All Styles,8:0:0
261,Main Story,9:30:0
261,Main + Sides,0:0:0
261,Completionist,10:30:0
261,All Styles,9:30:0
262,Main Story,7:30:0
262,Main + Sides,10:0:0
262,Completionist,10:0:0
262,All Styles,8:30:0
263,Main Story,4:30:0
263,Main + Sides,4:30:0
263,Completionist,0:0:0
263,All Styles,4:30:0
264,Main Story,0:0:0
264,Main + Sides,8:0:0
264,Completionist,12:30:0
264,All Styles,11:30:0
265,Co-Op,100:0:0
265,Vs.,10:0:0
267,Main Story,0:0:0
267,Main + Sides,0:0:0
267,Completionist,0:0:0
267,All Styles,0:0:0
266,Main Story,21:30:0
266,Main + Sides,32:0:0
266,Completionist,65:30:0
266,All Styles,31:30:0
