gameId,name,value
66,Developer,phr00t
66,Alias,3079 -- Block Action RPG
69,Platform,PlayStation 3
69,Genre,Action
69,Genre,Adventure
69,Developer,Silicon Studio
69,Publisher,Atlus
70,Genre,Pinball
70,Publisher,Kelly Media
71,Platform,PC
71,Platform,Xbox 360
71,Genre,Sports
71,Developer,Wanako Studios
71,Publisher,Sierra On-Line
72,Genre,Sports
72,Developer,Wanako Studios
72,Publisher,Sierra On-Line
74,Platform,PlayStation 2
74,Developer,Banpresto
74,Publisher,Banpresto
74,Alias,Dai-3-Ji Super Robot Taisen Alpha: Shuuen no Ginga e
75,Platform,PC
75,Developer,Reality Pump
75,Publisher,Topware Interactive
76,Platform,PlayStation
76,Genre,Sports
76,Developer,989 Sports
76,Publisher,989 Sports
77,Platform,Nintendo 3DS
77,Platform,Nintendo DS
77,Platform,PC
77,Platform,PlayStation 3
77,Genre,Adventure
77,Genre,Puzzle
77,Developer,Playrix Entertainment
77,Publisher,Playrix Entertainment
78,Genre,First-Person
78,Genre,Racing/Driving
78,Developer,IDL Group
78,Publisher,Gremlin Graphics
79,Platform,Nintendo 64
79,Platform,PC
79,Platform,PlayStation
79,Genre,Platform
79,Developer,Eurocom
79,Publisher,GT Interactive
80,Platform,Browser
80,Platform,PC
80,Genre,Puzzle
80,Developer,Scriptwelder
84,Platform,PC
84,Genre,Adventure
84,Developer,"Ben ""Yahtzee"" Croshaw"
84,Publisher,"Ben ""Yahtzee"" Croshaw"
83,Platform,PC
83,Genre,Racing/Driving
83,Developer,Avalon Style Entertainment
83,Publisher,505 Games
83,Publisher,1C Company
86,Platform,PlayStation 2
86,Platform,PlayStation Portable
86,Platform,Xbox
86,Genre,Action
86,Developer,Genuine Games
86,Developer,Interscope
86,Developer,High Voltage Software
86,Publisher,Sierra Entertainment
86,Publisher,Vivendi Games
85,Platform,PlayStation 3
85,Platform,Xbox 360
85,Genre,Third-Person
85,Genre,Shooter
85,Developer,Swordfish Studios
85,Publisher,THQ
87,Platform,PC
87,Genre,Side
87,Genre,Point-and-Click
87,Genre,Adventure
87,Developer,Mr Colossal
88,Platform,PC
88,Genre,Adventure
88,Developer,"Ben ""Yahtzee"" Croshaw"
88,Publisher,"Ben ""Yahtzee"" Croshaw"
89,Platform,Browser
89,Developer,Lucas Pope
90,Platform,Browser
90,Genre,Action
93,Platform,PC
93,Genre,Adventure
93,Developer,"Ben ""Yahtzee"" Croshaw"
93,Publisher,"Ben ""Yahtzee"" Croshaw"
94,Platform,PC
94,Genre,Puzzle
94,Developer,MumboJumbo
95,Platform,Nintendo DS
95,Platform,PC
95,Genre,Puzzle
95,Developer,MumboJumbo
95,Publisher,MumboJumbo
96,Platform,PC
96,Platform,PlayStation Portable
96,Genre,Puzzle
96,Developer,Hot Lava Games
96,Publisher,MumboJumbo
97,Platform,PC
97,Genre,Puzzle
97,Developer,MumboJumbo
97,Publisher,MumboJumbo
98,Platform,Nintendo DS
98,Platform,PC
98,Genre,Puzzle
98,Developer,MumboJumbo
98,Publisher,MumboJumbo
100,Genre,Sports
100,Developer,Atari Games
100,Publisher,Atari Games
101,Platform,Nintendo DS
101,Genre,Role-Playing
101,Developer,Sega AM1
101,Developer,imageepoch
101,Publisher,Sega
102,Platform,PlayStation Portable
102,Genre,Role-Playing
102,Developer,Sega AM1
102,Developer,imageepoch
102,Publisher,Sega
103,Platform,PlayStation Portable
103,Developer,Sega
103,Publisher,Sega
105,Platform,PC
105,Genre,Action
105,Genre,Platform
105,Genre,Shooter
105,Developer,2DEngine
104,Platform,NES
104,Platform,PC
104,Genre,Platform
104,Developer,Thinking Rabbit
104,Publisher,Taxan
107,Platform,PC
107,Genre,Adventure
107,Developer,Frogwares
108,Genre,Sports
108,Developer,Code Monkeys
108,Publisher,Oxygen Games
109,Platform,Dreamcast
109,Genre,Sports
109,Developer,Smilebit
109,Publisher,Sega
109,Alias,J.League Spectacle Soccer
110,Platform,PC
110,Genre,Action
110,Genre,Platform
110,Genre,Shooter
110,Developer,ZaxisGames
111,Genre,Adventure
111,Genre,Puzzle
111,Genre,Visual Novel
111,Developer,Chunsoft
111,Publisher,Chunsoft
111,Publisher,Spike Chunsoft
111,Publisher,Aksys Games
111,Alias,Kyokugen Dasshutsu - 9-Jikan 9-Nin 9 no Tobira
111,Alias,Zero Escape: Nine Hours
111,Alias,Nine Persons
111,Alias,Nine Doors
112,Platform,Nintendo DS
112,Platform,Nintendo Switch
112,Platform,Wii U
112,Genre,Action
112,Developer,EnjoyUp Games
112,Publisher,EnjoyUp Games
114,Platform,Browser
114,Platform,Mobile
114,Platform,PC
114,Genre,Text
114,Genre,Adventure
114,Developer,Adam Cadre
115,Platform,PC
115,Genre,Real-Time
115,Genre,Strategy
115,Developer,Noviy Disk
115,Developer,Lesta Studios
115,Publisher,Strategy First
116,Platform,PC
116,Genre,Action
116,Genre,Adventure
116,Genre,Role-Playing
116,Developer,Valorware
116,Publisher,Valorware
116,Alias,9th Dawn Classic
117,Platform,Browser
119,Genre,Platform
119,Genre,Puzzle
119,Developer,WayForward Technologies
119,Publisher,Majesco Games
120,Platform,NES
120,Genre,Platform
120,Genre,Puzzle
120,Developer,Imagineering
120,Publisher,Absolute Entertainment
120,Publisher,Jaleco
120,Publisher,Majesco
120,Alias,David Crane's A Boy and His Blob: Trouble on Blobolonia
121,Platform,Nintendo 64
121,Platform,PC
121,Platform,PlayStation
121,Genre,Platform
121,Developer,Traveller's Tales
121,Publisher,Disney Interactive
122,Platform,PlayStation
122,Genre,Various
122,Developer,Learning Technologies Interactive
122,Publisher,Activision
124,Platform,Browser
124,Platform,PC
124,Genre,Adventure
124,Developer,E-merl
125,Platform,PC
125,Genre,Role-Playing
125,Genre,Adventure
125,Developer,Arise
125,Developer,KranX Productions
125,Publisher,1C Company
126,Genre,Arcade
126,Genre,Platform
126,Developer,DigiPen Institute of Technology
126,Publisher,DigiPen Institute of Technology
127,Platform,PC
127,Genre,City-Building
127,Genre,Strategy
127,Developer,Zeal Game Studio
127,Publisher,Paradox Interactive
128,Platform,PC
128,Genre,Strategy
128,Developer,Cyanide
128,Publisher,Focus Home Interactive
130,Platform,Mac
130,Platform,Nintendo Switch
130,Platform,PC
130,Platform,PlayStation 4
130,Platform,Xbox One
130,Genre,Third-Person
130,Genre,Action
130,Genre,Adventure
130,Genre,Platform
130,Developer,Gears for Breakfast
130,Publisher,Gears for Breakfast
130,Publisher,Humble Bundle
131,Platform,PC
131,Platform,Xbox 360
131,Platform,Xbox One
131,Genre,Simulation
131,Developer,NinjaBee
131,Publisher,Microsoft Game Studios
132,Platform,PC
132,Genre,Text
