gameId,region,date
214,EU,1992-01-01
214,JP,1986-09-12
215,NA,1991-02-01
215,JP,1991-04-26
216,NA,1992-09-01
216,JP,1992-07-31
217,NA,2009-05-25
217,JP,2009-04-07
219,NA,2012-11-20
220,NA,1990-06-01
220,EU,1992-12-10
223,NA,1989-04-20
223,EU,1991-02-21
222,NA,1989-09-01
222,JP,1987-02-10
224,NA,1990-04-20
224,JP,1990-01-06
225,NA,1991-11-21
225,EU,1992-05-27
225,JP,1990-12-26
229,NA,1982-01-01
230,NA,2009-09-22
231,NA,2007-04-24
231,EU,2011-03-30
231,JP,2006-05-25
232,NA,2007-05-16
232,EU,2007-05-16
233,NA,2013-01-01
234,NA,2014-07-03
234,EU,2014-07-03
234,JP,2014-07-03
235,NA,2005-11-17
236,NA,1992-01-01
236,EU,1992-01-01
236,JP,1992-01-01
237,NA,1994-08-26
237,EU,1994-08-26
237,JP,1994-08-26
238,NA,1995-10-12
239,NA,1997-11-01
239,EU,1998-04-15
241,NA,2012-11-29
241,EU,2012-11-29
241,JP,2012-05-31
242,NA,1993-10-01
242,EU,1993-01-01
242,JP,2002-12-20
243,NA,1994-04-01
243,EU,1994-08-01
244,NA,1992-01-01
245,NA,1994-08-01
247,NA,2008-09-03
249,NA,2009-10-06
249,JP,2008-08-28
250,NA,2009-01-27
250,EU,2009-03-27
251,JP,1994-11-11
252,NA,1987-11-01
252,EU,1987-11-01
253,NA,2010-04-21
253,EU,2010-04-21
253,JP,2010-04-21
254,NA,1987-01-01
254,EU,1987-01-01
254,JP,1987-10-01
255,NA,1992-01-01
255,EU,1992-01-01
255,JP,1991-01-01
256,NA,2011-11-25
257,NA,2010-04-02
257,JP,2009-12-10
260,NA,2005-10-27
260,EU,2006-02-10
261,NA,2007-10-16
261,EU,2007-11-23
262,NA,2006-11-14
262,EU,2007-03-09
263,NA,2009-11-12
264,NA,2008-10-15
264,EU,2008-10-15
265,NA,2008-05-20
265,EU,2008-05-23
266,NA,1997-10-15
266,EU,1998-02-02
268,NA,1999-09-30
268,EU,1999-09-30
269,NA,2000-08-24
269,EU,2000-08-24
270,NA,2005-10-18
270,EU,2005-11-04
