gameId,gameName,playCount,backlogCount,replayCount,retiredPercentage,rating,completedCount
59700,Wild Animals - Animated Jigsaws,0,0,0,50.0,0.0,1
59701,Puzzle With Friends,0,0,0,0.0,0.0,0
59702,Beautiful Japanese Scenery - Animated Jigsaws,0,0,0,0.0,0.0,0
59703,The Dreamatorium of Dr. Magnus 2,0,12,0,0.0,50.0,3
59704,What Are You Stupid,0,0,0,0.0,0.0,0
59705,RPG What Hadjane Says Goes,0,1,0,0.0,0.0,0
59706,Oakwood Academy of Spells and Sorcery,1,3,0,25.0,0.0,0
59707,I Am Innocent,0,1,0,16.7,0.0,4
59709,Kurohyō: Ryū ga Gotoku Shinshō,0,1,0,0.0,0.0,0
59710,Kurohyō 2: Ryū ga Gotoku Ashura Hen,0,1,0,0.0,0.0,0
59711,Robot Arena III,0,3,0,40.0,0.0,0
59712,Fuel Renegades,1,1,0,66.7,0.0,0
59713,Super Mario 3D Land (Replay),0,0,0,0.0,90.0,1
59714,Himoutou! Umaru-Chan: Himoutou Ikusei Keikaku,0,0,0,0.0,70.0,2
59715,Scythe: Digital Edition,12,794,8,6.1,84.0,35
59716,Arrow Heads,0,4,0,0.0,0.0,0
59717,Coregrounds,0,9,0,18.2,0.0,0
59718,Find & Destroy: Tank Strategy,0,6,0,14.3,0.0,0
59719,SANKHARA,0,3,0,25.0,0.0,0
59720,The Witches' Tea Party,0,52,1,5.1,70.0,4
59722,Naruto x Boruto: Ninja Voltage,0,1,0,50.0,0.0,2
59723,Gopnik Simulator,0,11,0,5.9,30.0,5
59724,The Pillage,0,12,1,11.1,50.0,4
59725,Achievement Lurker: Ballad of the Shimapan Warrior - King of Panties,0,0,0,0.0,50.0,1
59727,Cube - The Jumper,1,26,0,7.3,27.0,12
59728,Fruit Sudoku🍉 4,0,0,0,0.0,0.0,0
59729,Gray Cat,0,22,0,15.2,63.0,6
59730,H.I.S.T.O.R.Y T.O.R.C.H.K.A 2,0,2,0,0.0,0.0,0
59731,L.S.S,0,5,0,16.7,0.0,0
59733,OutBreak: The Escape,0,2,0,33.3,0.0,0
59732,One Against The Galaxy,0,4,0,20.0,0.0,0
59734,Soul for Two,0,15,0,5.6,0.0,2
59735,Terrorist Elimination,0,5,0,14.3,0.0,1
59736,The Bits That Saved The Universe,0,6,0,0.0,0.0,0
59737,ZombieHunt,0,8,0,9.1,10.0,2
59738,Astoria: The Holders of Power Saga,1,20,0,0.0,0.0,1
59740,Brigand: Oaxaca,1,84,1,2.2,0.0,3
59743,DesertShootout,0,10,0,16.7,15.0,0
59744,Fairy Lands: Rinka and the Fairy Gems,1,34,0,7.9,30.0,1
59745,Galactic Harvester,0,5,0,16.7,0.0,0
59746,Go! Go! Radio: 8-Bit Edition,0,11,0,0.0,60.0,1
59748,HEXOPODS,0,5,0,0.0,0.0,0
59747,Gunducky Industries,0,28,0,9.4,0.0,1
59753,Solitaire Club,0,5,0,0.0,0.0,2
59754,Space Waver,0,6,0,0.0,0.0,0
59755,Stickman Destruction,0,1,0,0.0,90.0,2
59756,Tessa's Ark,1,56,0,3.9,30.0,18
59757,Time Killers: CatchOut,0,13,0,0.0,60.0,2
59758,Time Killers: Spot Race,0,10,0,0.0,60.0,4
59759,Zombie Solitaire 2 - Chapter 1,1,9,0,4.8,68.0,11
59760,Zombie Solitaire 2 - Chapter 2,0,8,0,7.1,70.0,5
59761,holedown,0,4,0,4.7,80.0,37
59762,Knockout Checkers Chamber,0,3,0,28.6,70.0,2
59763,Achievement Idler: Red,0,1,0,5.0,38.0,18
59764,Achievement Lurker: Dad Jokes,1,3,0,11.8,23.0,12
59765,Achievement Lurker: Easiest Cosmetic Numbers,1,3,0,6.7,25.0,11
59766,Chevo Lurker: Exodus,0,3,0,0.0,48.0,9
59767,Verne World,0,1,0,50.0,0.0,0
59768,Blali,0,0,0,0.0,0.0,1
59770,Radiant One,1,34,0,4.2,61.0,34
59769,Shrek: Ogres & Dronkeys,1,8,0,6.7,40.0,6
59771,One Piece Gigant Battle 2 - Shin Sekai,0,0,0,0.0,0.0,1
59772,Black Clover: Quartet Knights,2,112,0,4.7,58.0,70
59773,Phantom Doctrine,24,3000,7,3.5,70.0,111
