gameId,name,polled,main,side,complete,fastest,slowest
68151,PC,5000,57:50:0,100:45:0,138:48:0,12:57:0,432:5:0
68151,PlayStation 4,527,64:7:0,111:58:0,143:3:0,14:12:0,401:5:0
68151,PlayStation 5,2200,59:52:0,104:31:0,134:20:0,16:0:0,388:0:0
68151,Xbox One,64,63:17:0,120:23:0,161:35:0,41:13:0,270:0:0
68151,Xbox Series X/S,626,65:46:0,108:17:0,148:27:0,15:34:0,421:0:0
