gameId,categoryName,playstyleName,polled,average,median,fastest,slowest
68151,Single-Player,Main Story,1300,59:15:0,60:0:0,36:17:0,86:48:0
68151,Single-Player,Main + Extras,4100,103:15:0,97:0:0,64:33:0,238:55:0
68151,Single-Player,Completionist,3100,138:30:0,127:33:0,92:7:0,282:33:0
68151,Single-Player,All PlayStyles,8500,109:10:0,100:0:0,58:46:0,268:20:0
68151,Speedruns,Any%,15,3:48:49,3:40:0,1:36:58,8:30:5
68151,Multi-Player,Co-Op,57,60:30:0,38:0:0,25:0:0,213:0:0
68151,Multi-Player,Competitive,30,48:30:0,12:30:0,15:30:0,160:0:0
