gameId,name,value
68151,Platform,PC
68151,Platform,PlayStation 4
68151,Platform,PlayStation 5
68151,Platform,Xbox One
68151,Platform,Xbox Series X/S
68151,Genre,Third-Person
68151,Genre,Action
68151,Genre,Open World
68151,Genre,Role-Playing
68151,Developer,FromSoftware
68151,Publisher,Bandai Namco Entertainment
